Date,Open,High,Low,Close,Volume
2010-01-31,172.0,173.38,160.1,168.54,632905.77
2010-02-28,168.88,175.6,164.2,166.84,264527.7
2010-03-31,166.45,167.45,156.92,158.76,377834.15
2010-04-30,158.78,160.5,127.75,129.03,1138448.81
2010-05-31,127.99,136.5,125.5,131.88,474924.21
2010-06-30,131.75,142.6,125.51,127.36,391279.67
2010-07-31,127.85,143.1,124.56,138.67,459778.76
2010-08-31,138.63,160.99,138.63,159.23,566019.43
2010-09-30,158.8,173.45,155.9,168.73,396390.01
2010-10-31,169.0,176.43,154.8,163.15,744184.86
2010-11-30,163.2,222.0,161.25,204.81,1532677.23
2010-12-31,203.0,212.5,177.4,183.92,1024080.44
2011-01-31,186.9,187.9,169.58,177.99,673167.79
2011-02-28,178.0,188.8,176.0,178.68,455420.97000000003
2011-03-31,178.71,194.1,174.5,179.85,793555.4400000001
2011-04-30,179.98,185.08,170.77,182.31,580807.09
2011-05-31,183.0,203.98,182.0,203.8,638296.04
2011-06-30,204.1,213.3,198.8,212.63,580826.28
2011-07-31,192.5,208.88,189.8,206.69,583960.88
2011-08-31,207.33,219.5,193.0,214.77,691008.23
2011-09-30,214.7,215.48,184.9,190.59,551486.69
2011-10-31,190.88,206.8,183.0,204.21,387168.47
2011-11-30,203.18,216.09,199.7,210.06,584117.59
2011-12-31,213.2,216.2,186.49,193.3,613985.79
2012-01-31,191.5,194.66,170.9,186.41,503056.73
2012-02-29,186.2,205.0,183.49,204.46,495691.71
2012-03-31,203.52,215.9,192.98,196.96,769487.29
2012-04-30,196.1,225.48,196.1,224.56,408009.15
2012-05-31,226.0,237.8,215.9,236.68,664321.76
2012-06-30,238.0,248.31,232.13,239.15,440064.57
2012-07-31,240.0,266.08,236.02,246.44,688580.93
2012-08-31,246.18,261.65,213.5,219.76,650460.26
2012-09-30,237.0,246.68,228.08,245.8,553947.88
2012-10-31,245.3,254.96,237.48,247.34,314811.05
2012-11-30,248.21,250.85,206.8,216.01,545662.71
2012-12-31,213.0,221.0,184.0,209.02,1383609.93
2013-01-31,212.0,217.65,172.0,178.9,1290078.43
2013-02-28,178.88,188.4,172.0,175.0,751225.75
2013-03-31,174.3,188.6,162.31,168.86,985471.36
2013-04-30,168.09,180.0,160.45,173.99,643372.04
2013-05-31,173.0,207.17,169.03,197.1,823806.7
2013-06-30,198.1,205.3,176.03,192.37,581697.25
2013-07-31,192.03,199.86,165.59,168.5,745426.5
2013-08-31,169.98,182.34,167.55,168.78,531285.13
2013-09-30,160.8,160.8,133.02,135.94,1443991.8599999999
2013-10-31,135.76,147.7,131.5,135.11,776964.82
2013-11-30,134.33,146.45,133.8,141.44,638397.58
2013-12-31,140.01,140.27,122.5,128.38,605838.36
2014-01-31,127.99,143.78,118.01,132.2,780773.48
2014-02-28,132.06,151.98,130.86,150.02,609832.96
2014-03-31,150.0,176.2,148.33,154.7,904883.47
2014-04-30,154.71,179.6,154.4,163.88,710050.32
2014-05-31,163.5,163.5,143.6,153.22,433682.34
2014-06-30,153.0,163.8,139.22,141.98,385402.38
2014-07-31,142.59,169.1,140.6,160.27,682897.38
2014-08-31,160.17,166.66,155.0,158.23,544530.3099999999
2014-09-30,158.2,168.16,155.6,162.13,628282.3200000001
2014-10-31,161.0,161.1,153.68,156.68,587288.53
2014-11-30,156.75,168.0,145.5,155.84,1204703.43
2014-12-31,156.57,193.49,156.0,189.62,1806562.01
2015-01-31,189.62,204.24,171.47,177.18,964360.64
2015-02-28,175.51,194.5,173.5,191.05,663714.55
2015-03-31,190.8,200.77,183.27,195.96,957533.52
2015-04-30,196.03,269.0,192.78,252.23,1921358.66
2015-05-31,252.66,290.0,239.88,263.83,1133082.49
2015-06-30,263.94,273.0,227.8,257.65,1744163.1
2015-07-31,255.0,283.0,197.48,206.83,2558994.02
2015-08-31,205.0,214.29,166.2,195.37,1269912.21
2015-09-30,191.82,209.54,185.0,190.31,692074.25
2015-10-31,198.78,218.3,196.5,213.86,417339.66
2015-11-30,214.6,224.66,206.63,214.31,515954.5
2015-12-31,213.0,229.18,209.0,218.19,514723.72
2016-01-31,218.0,218.0,195.51,200.65,565208.21
2016-02-29,202.1,220.88,199.6,214.91,389078.57
2016-03-31,215.96,253.38,210.4,247.64,878013.09
2016-04-30,248.95,257.6,235.8,251.2,640870.82
2016-05-31,250.55,266.62,243.1,264.47,555457.57
2016-06-30,265.4,298.2,263.0,291.92,571227.98
2016-07-31,287.2,326.8,284.0,313.15,772379.0599999999
2016-08-31,313.0,322.48,300.07,310.19,688241.51
2016-09-30,309.7,312.0,287.56,297.91,470939.62
2016-10-31,298.51,322.8,298.51,317.95,413501.18
2016-11-30,317.95,330.45,308.37,319.08,611726.4400000001
2016-12-31,320.0,340.0,315.82,334.15,693835.63
2017-01-31,334.28,359.8,332.81,344.42,610844.3099999999
2017-02-28,346.0,366.52,341.92,354.66,497339.03
2017-03-31,355.1,396.5,354.53,386.36,722267.4
2017-04-30,385.66,428.68,380.6,413.48,738759.23
2017-05-31,411.6,456.48,398.0,442.94,678412.3200000001
2017-06-30,442.5,485.0,441.01,471.85,738688.77
2017-07-31,474.2,487.96,441.2,481.22,793731.18
2017-08-31,481.0,501.1,471.13,491.15,612505.54
2017-09-30,490.2,525.88,469.98,517.64,570306.6
2017-10-31,524.54,655.0,520.1,618.03,701891.13
2017-11-30,620.88,719.96,613.01,631.0,1425060.18
2017-12-31,638.01,726.5,615.26,697.49,1064918.28
2018-01-31,700.0,799.06,689.89,764.54,1234338.91
2018-02-28,767.0,767.3,658.0,725.62,962180.9
2018-03-31,728.0,753.99,658.41,683.62,987820.16
2018-04-30,680.0,714.78,645.0,662.53,690633.95
2018-05-31,660.0,751.62,645.06,751.13,904336.58
2018-06-30,751.13,803.5,697.0,731.46,875299.9400000001
2018-07-31,734.52,764.11,678.23,726.44,752392.99
2018-08-31,731.4,732.3,616.86,659.19,873581.13
2018-09-30,652.0,733.2,620.0,730.0,686640.3300000001
2018-10-31,715.41,719.0,509.02,548.9,1319141.36
2018-11-30,555.0,600.0,536.8,565.0,933088.73
2018-12-31,589.0,616.5,553.61,590.01,631065.46
2019-01-31,609.98,698.88,582.02,689.6,841529.84
2019-02-28,697.04,763.42,688.18,755.01,639330.67
2019-03-31,761.5,866.68,733.65,853.99,1095482.07
2019-04-30,860.0,990.0,834.21,974.0,995748.55
2019-05-31,925.5,935.0,842.5,890.0,1229949.31
2019-06-30,892.0,1001.0,840.0,984.0,826617.4
2019-07-31,1004.52,1035.6,938.15,972.6,833980.31
2019-08-31,976.51,1146.0,923.8,1142.0,852490.29
2019-09-30,1139.99,1188.87,1066.0,1150.0,687004.74
2019-10-31,1153.0,1215.68,1109.02,1180.01,539164.85
2019-11-30,1181.0,1241.61,1112.89,1129.0,570350.14
2019-12-31,1118.2,1195.5,1117.74,1183.0,596792.79
2020-01-31,1128.0,1145.06,1037.0,1052.8,792364.03
2020-02-29,985.0,1124.0,980.0,1057.0,843686.12
2020-03-31,1050.11,1176.0,960.1,1111.0,1137913.14
2020-04-30,1117.0,1299.94,1103.0,1265.7,618638.28
2020-05-31,1251.0,1371.96,1250.0,1366.6,478779.41
2020-06-30,1381.0,1482.0,1381.0,1462.88,531224.78
2020-07-31,1468.0,1787.0,1464.02,1678.18,1142188.9
2020-08-31,1686.88,1816.0,1598.5,1786.5,664726.04
2020-09-30,1792.0,1828.0,1621.02,1668.5,660452.52
2020-10-31,1692.0,1750.62,1600.0,1670.02,472636.55
2020-11-30,1675.0,1809.9,1672.0,1713.91,610494.53
2020-12-31,1726.0,1998.98,1720.01,1998.0,822305.12
2021-01-31,1999.98,2187.0,1982.46,2116.18,848807.48
2021-02-28,2130.0,2627.88,2067.3,2122.78,806725.03
2021-03-31,2179.0,2180.0,1900.18,2009.0,1092629.14
2021-04-30,2021.0,2165.0,1990.0,2006.78,722312.08
2021-05-31,2000.0,2320.0,1866.01,2218.0,660296.8099999999
2021-06-30,2222.0,2288.0,2021.0,2056.7,653764.63
2021-07-31,2059.97,2110.0,1657.76,1678.99,1003678.72
2021-08-31,1664.0,1802.88,1525.5,1558.0,1227673.23
2021-09-30,1559.0,1863.4,1531.1,1830.0,941629.53
2021-10-31,1822.42,1949.95,1787.0,1826.08,565176.83
2021-11-30,1780.0,1990.0,1735.0,1930.77,709147.52
2021-12-31,1950.0,2216.96,1919.02,2050.0,896307.02
2022-01-31,2055.0,2068.95,1835.34,1887.0,616149.34
2022-02-28,1900.99,1913.56,1748.1,1790.4,501501.88
2022-03-31,1802.0,1863.57,1593.0,1719.0,1013004.39
2022-04-30,1729.94,1849.0,1700.0,1828.38,650676.25
2022-05-31,1830.0,1870.0,1705.01,1804.03,540573.47
2022-06-30,1802.0,2077.0,1758.0,2045.0,685275.4299999999
2022-07-31,2055.0,2067.77,1878.1,1898.44,498568.3
2022-08-31,1890.01,1939.5,1851.0,1924.0,497927.25
2022-09-30,1912.15,1916.0,1811.01,1872.5,498507.19
2022-10-31,1890.0,1891.0,1333.0,1350.0,1010089.7
2022-11-30,1359.0,1604.0,1359.0,1599.0,1038338.76
2022-12-31,1660.0,1816.0,1621.2,1727.0,642137.59
2023-01-31,1731.2,1935.0,1706.01,1845.76,442029.53
2023-02-28,1854.98,1887.0,1760.0,1813.74,528473.05
2023-03-31,1813.0,1848.0,1723.97,1820.0,468656.51
2023-04-30,1825.0,1827.77,1684.01,1760.52,452708.83999999997
2023-05-31,1769.0,1777.67,1626.67,1628.9,475506.6
