Date,Open,High,Low,Close,Volume
2010-01-31,31.8,32.35,27.95,29.19,6543958.29
2010-02-28,29.69,30.05,27.72,28.04,2415416.91
2010-03-31,27.97,29.21,26.28,28.17,4259219.35
2010-04-30,28.17,30.0,25.4,26.29,5337230.63
2010-05-31,26.0,27.2,23.0,24.86,2810478.07
2010-06-30,24.77,27.35,23.98,24.23,2638370.96
2010-07-31,24.3,28.46,22.2,27.78,3088615.43
2010-08-31,28.0,32.0,28.0,31.72,5013782.05
2010-09-30,31.75,34.98,30.86,34.33,3624273.67
2010-10-31,34.49,38.2,31.75,36.5,6410807.66
2010-11-30,36.6,41.48,34.68,39.13,8150300.3
2010-12-31,39.14,39.58,32.35,34.63,6736250.850000001
2011-01-31,34.9,35.0,30.97,32.85,3863184.16
2011-02-28,32.95,35.09,32.21,32.97,3379996.43
2011-03-31,33.0,33.88,31.26,31.89,5758514.12
2011-04-30,31.87,33.05,30.0,32.97,4087715.12
2011-05-31,33.0,34.75,31.6,33.01,4122740.12
2011-06-30,33.02,36.14,32.81,35.72,4382667.99
2011-07-31,35.78,39.59,35.58,38.0,4696232.6
2011-08-31,38.0,40.8,35.81,40.4,5806759.98
2011-09-30,40.5,40.59,35.55,36.3,2877647.55
2011-10-31,36.28,37.77,34.38,36.69,2398194.75
2011-11-30,36.44,38.66,35.0,37.53,3993184.79
2011-12-31,38.27,38.3,31.48,32.8,3037404.71
2012-01-31,33.0,33.38,29.82,31.99,2832431.2800000003
2012-02-29,31.88,35.98,31.3,35.24,3429741.85
2012-03-31,35.01,37.81,32.55,32.84,4036357.1999999997
2012-04-30,32.85,36.05,32.45,35.62,2472602.08
2012-05-31,36.0,37.5,31.38,32.25,5443856.47
2012-06-30,32.39,33.73,31.68,32.76,3169155.32
2012-07-31,32.88,39.55,32.36,35.0,8659435.57
2012-08-31,34.88,37.68,31.93,32.57,4357290.48
2012-09-30,33.02,35.49,32.01,33.9,3052708.24
2012-10-31,33.92,35.84,32.8,33.6,3312308.67
2012-11-30,33.68,34.7,26.66,26.97,5133418.600000001
2012-12-31,26.87,28.59,23.31,28.23,11011578.42
2013-01-31,28.47,29.04,24.09,25.5,9729837.459999999
2013-02-28,25.51,26.43,24.0,24.44,6214773.32
2013-03-31,24.45,25.58,21.51,22.34,5353357.3100000005
2013-04-30,22.31,23.1,21.3,21.95,3612833.2199999997
2013-05-31,21.94,24.64,21.37,23.75,5183482.69
2013-06-30,23.75,24.1,18.9,20.04,3006888.64
2013-07-31,19.95,21.02,18.82,18.95,3778475.46
2013-08-31,19.13,20.6,18.98,19.37,4923421.32
2013-09-30,19.3,19.68,17.82,18.0,4763475.93
2013-10-31,17.92,18.65,16.01,16.31,3891286.46
