Date,Open,High,Low,Close,Volume
2010-01-08,31.8,32.0,29.09,29.94,1965116.35
2010-01-15,30.2,32.2,29.43,31.56,1841671.08
2010-01-22,31.7,32.35,29.18,29.61,1597317.69
2010-01-29,29.54,30.37,27.95,29.19,1139853.17
2010-02-05,29.69,30.05,28.37,28.86,1046071.75
2010-02-12,28.71,29.77,28.58,29.52,529158.74
2010-02-26,29.52,29.52,27.72,28.04,840186.42
2010-03-05,27.97,29.17,27.79,28.29,974100.8
2010-03-12,28.4,28.5,27.18,27.22,817411.86
2010-03-19,27.18,28.05,26.28,28.03,932516.8600000001
2010-03-26,28.12,29.03,27.85,28.4,971071.3099999999
2010-04-02,28.71,29.21,28.0,28.3,939176.48
2010-04-09,28.28,28.46,27.5,28.05,850516.8
2010-04-16,28.1,29.57,27.48,29.0,1394869.83
2010-04-23,28.7,30.0,27.53,29.0,1672672.4
2010-04-30,28.0,28.66,25.4,26.29,1044113.64
2010-05-07,26.0,27.2,25.4,25.66,487725.6
2010-05-14,25.7,26.65,23.96,25.12,679395.4
2010-05-21,24.8,24.95,23.0,24.8,794434.62
2010-05-28,25.05,25.99,24.68,25.47,741173.87
2010-06-04,25.48,25.56,23.98,25.0,614307.85
2010-06-11,24.61,27.35,24.5,26.61,1020740.4
2010-06-18,26.63,26.81,25.12,25.15,298136.80000000005
2010-06-25,25.25,26.3,25.1,25.7,533814.14
2010-07-02,25.6,25.83,22.2,23.56,511373.26
2010-07-09,23.31,25.35,22.9,25.0,465094.94
2010-07-16,25.0,25.95,24.55,25.8,544575.3400000001
2010-07-23,25.7,27.68,25.62,27.42,929451.26
2010-07-30,27.55,28.46,27.5,27.78,917240.98
2010-08-06,28.0,30.28,28.0,29.78,1367524.76
2010-08-13,29.78,30.69,28.9,30.19,1339648.78
2010-08-20,30.25,31.35,29.45,29.8,1116229.97
2010-08-27,30.0,30.8,29.38,29.99,614220.0
2010-09-03,30.15,32.6,30.15,32.2,1186098.75
2010-09-10,32.6,33.99,31.78,33.89,968103.5
2010-09-17,33.89,34.58,31.7,33.21,1000223.85
2010-09-24,33.21,33.67,32.61,33.25,258566.93
2010-10-01,33.24,34.98,32.7,34.33,787439.18
2010-10-08,34.49,36.16,34.4,35.7,261470.72
2010-10-15,35.7,36.28,31.8,32.66,2310821.6399999997
2010-10-22,32.59,36.99,31.75,36.0,2255861.0300000003
2010-10-29,36.12,38.2,35.59,36.5,1582654.27
2010-11-05,36.6,38.1,36.33,37.2,1292725.62
2010-11-12,37.3,40.0,36.41,36.9,2062874.54
2010-11-19,37.1,38.97,34.68,37.0,1778526.6400000001
2010-11-26,36.99,40.94,36.68,40.44,2116973.39
2010-12-03,40.45,41.48,37.7,38.22,1539833.03
2010-12-10,38.2,38.57,36.57,37.45,982358.03
2010-12-17,37.6,39.58,36.91,38.15,1705973.27
2010-12-24,38.18,38.3,34.68,34.73,2034722.44
2010-12-31,35.0,35.2,32.35,34.63,1372564.19
2011-01-07,34.9,35.0,32.87,33.3,995581.97
2011-01-14,33.29,33.94,32.03,33.8,1040505.0
2011-01-21,33.59,34.17,32.1,32.3,971657.28
2011-01-28,32.3,32.89,30.97,32.78,714587.17
2011-02-04,32.78,33.3,32.23,33.06,298637.83999999997
2011-02-11,33.0,34.68,32.21,34.1,646728.4299999999
2011-02-18,34.0,35.09,33.4,34.47,1370659.6400000001
2011-02-25,34.21,34.6,32.53,32.97,982769.59
2011-03-04,32.97,33.4,31.37,32.2,1395146.82
2011-03-11,32.21,33.75,32.19,32.72,1326608.24
2011-03-18,32.52,33.88,32.11,33.0,1298591.17
2011-03-25,33.19,33.45,32.09,32.37,940941.95
2011-04-01,32.46,32.56,31.26,31.81,1133600.8900000001
2011-04-08,31.7,31.73,30.0,30.99,851347.89
2011-04-15,31.1,31.77,30.75,31.43,853450.26
2011-04-22,31.43,32.38,30.45,31.95,892478.79
2011-04-29,31.8,33.05,31.53,32.97,1376116.9
2011-05-06,33.0,34.12,32.87,33.54,1162459.24
2011-05-13,33.62,33.88,32.37,33.04,912355.78
2011-05-20,32.9,34.75,32.83,34.4,1025748.39
2011-05-27,34.39,34.39,32.09,32.18,721921.72
2011-06-03,31.95,34.8,31.6,34.52,1111183.7
2011-06-10,34.41,35.05,33.46,34.65,861805.26
2011-06-17,34.71,35.55,34.16,34.53,1000676.05
2011-06-24,34.46,36.06,33.76,35.6,1074462.53
2011-07-01,35.5,36.14,35.4,35.67,746322.88
2011-07-08,35.68,37.8,35.68,37.15,1013066.79
2011-07-15,37.17,38.78,37.12,37.45,1230033.63
2011-07-22,37.46,39.59,37.46,39.1,1251338.37
2011-07-29,39.05,39.35,37.33,38.0,1090266.37
2011-08-05,38.0,38.7,36.52,37.82,916931.08
2011-08-12,37.44,39.98,35.81,39.56,1850669.2100000002
2011-08-19,39.65,40.57,38.81,39.6,1170709.97
2011-08-26,39.61,39.78,37.73,39.41,981056.25
2011-09-02,39.25,40.8,39.07,39.4,1224585.47
2011-09-09,39.3,39.77,37.98,38.26,766120.52
2011-09-16,37.9,38.45,36.7,38.05,554710.56
2011-09-23,38.03,38.3,35.77,36.43,663214.2
2011-09-30,36.0,36.66,35.55,36.3,556410.27
2011-10-14,36.28,36.55,34.38,35.98,698731.45
2011-10-21,35.96,37.36,35.5,35.7,562796.23
2011-10-28,35.72,37.77,35.37,37.61,731789.5700000001
2011-11-04,37.64,37.8,36.18,37.42,1213624.56
2011-11-11,37.4,37.51,36.11,36.19,645217.05
2011-11-18,36.38,36.95,35.1,35.12,655062.86
2011-11-25,35.3,38.38,35.0,38.07,1232670.51
2011-12-02,38.08,38.66,37.23,37.4,998971.24
2011-12-09,37.27,37.64,35.3,35.5,664635.7
2011-12-16,35.6,35.78,33.61,34.74,670790.29
2011-12-23,34.6,35.12,33.34,34.15,569772.93
2011-12-30,34.15,34.15,31.48,32.8,784721.86
2012-01-06,33.0,33.08,30.88,31.51,419967.24
2012-01-13,31.6,33.38,30.01,32.21,942834.16
2012-01-20,31.91,31.91,29.82,31.76,1195107.32
2012-02-03,31.85,32.52,31.08,32.05,746507.18
2012-02-10,32.05,33.33,31.7,32.66,825350.23
2012-02-17,32.48,33.59,32.3,33.08,588771.53
2012-02-24,33.34,34.28,32.8,34.18,812026.3
2012-03-02,34.23,35.98,33.86,35.14,1027995.8099999999
2012-03-09,35.24,35.65,33.9,35.64,743059.06
2012-03-16,35.68,37.52,35.0,37.35,1143650.3
2012-03-23,37.37,37.81,35.57,35.75,702119.14
2012-03-30,35.6,36.9,32.55,32.84,1151142.06
2012-04-06,32.85,34.95,32.45,34.71,395548.14
2012-04-13,34.55,35.15,33.62,34.73,499049.21
2012-04-20,34.67,34.94,33.38,33.97,609046.63
2012-04-27,34.72,36.05,33.71,35.62,968958.1
2012-05-04,36.0,37.19,35.55,37.06,742068.6900000001
2012-05-11,37.02,37.5,35.29,35.75,1109565.97
2012-05-18,35.98,35.99,33.35,33.55,992732.37
2012-05-25,33.57,34.68,31.45,31.95,1734407.07
2012-06-01,31.72,33.65,31.38,33.22,1252077.72
2012-06-08,32.79,33.2,32.0,32.55,721400.03
2012-06-15,32.49,33.43,31.68,33.02,976714.45
2012-06-22,33.16,33.73,32.28,32.35,467868.92
2012-06-29,32.26,32.84,31.7,32.76,616176.5700000001
2012-07-06,32.88,35.58,32.36,35.01,1758044.6099999999
2012-07-13,35.6,39.55,35.05,38.38,3439728.84
2012-07-20,38.14,38.59,35.95,35.96,1673950.54
2012-07-27,35.45,36.34,34.57,35.5,1309510.81
2012-08-03,35.3,36.17,34.65,35.95,1022235.34
2012-08-10,35.7,37.68,35.67,36.58,1297237.15
