Date,Open,High,Low,Close,Volume
2019-01-04,9.39,9.82,9.15,9.75,2436083.33
2019-01-11,9.84,10.22,9.62,10.2,4269744.34
2019-01-18,10.22,10.57,10.07,10.43,3641908.6900000004
2019-01-25,10.34,11.04,10.26,11.0,4409248.6899999995
2019-02-01,11.04,11.25,10.77,11.2,4420434.73
2019-02-15,11.08,11.41,10.9,10.95,4868551.92
2019-02-22,11.05,11.62,11.04,11.54,5297328.390000001
2019-03-01,11.7,12.78,11.57,12.76,9647272.79
2019-03-08,12.7,13.38,12.25,12.3,8671232.22
2019-03-15,12.3,12.68,12.05,12.5,5941746.779999999
2019-03-22,12.53,12.94,12.32,12.59,4947290.5
2019-03-29,12.4,12.82,12.01,12.82,5440077.24
2019-04-05,12.83,14.0,12.83,13.86,5879066.02
2019-04-12,13.9,14.43,13.21,13.42,4901324.9
2019-04-19,13.72,14.8,13.55,14.73,6670457.12
2019-04-26,14.6,14.84,13.7,13.79,6333582.4799999995
2019-05-03,13.9,14.33,13.59,13.85,2147266.02
2019-05-10,13.1,13.35,12.05,12.68,6906327.75
2019-05-17,12.33,13.11,12.16,12.44,4628406.77
2019-05-24,12.35,12.73,12.14,12.35,3186258.04
2019-05-31,12.21,12.59,11.93,12.18,3928619.64
2019-06-07,12.22,12.33,11.6,11.92,3669931.96
2019-06-14,12.01,12.72,11.98,12.49,4066258.5
2019-06-21,12.48,13.95,12.48,13.64,4786918.01
2019-06-28,13.69,13.85,13.07,13.78,4098473.31
2019-07-05,14.01,14.28,13.69,13.92,4152947.96
2019-07-12,13.82,14.23,13.44,14.12,3580480.46
2019-07-19,14.03,14.12,13.56,13.99,3263301.1
2019-07-26,13.96,14.27,13.65,14.23,3379695.87
2019-08-02,14.25,14.55,13.66,13.74,3644841.73
2019-08-09,13.6,14.85,13.03,14.52,6959910.71
2019-08-16,14.61,15.22,14.6,14.9,7271987.640000001
2019-08-23,14.91,15.2,14.2,14.65,9194068.84
2019-08-30,14.42,14.5,14.05,14.16,5009028.5
2019-09-06,14.15,14.85,14.11,14.81,5947304.05
2019-09-13,14.98,15.0,14.41,14.68,4066011.63
2019-09-20,14.7,15.4,14.18,15.34,7161292.19
2019-09-27,15.34,16.04,15.18,15.9,7165576.8100000005
2019-10-04,15.75,15.89,15.57,15.59,1046363.17
2019-10-11,15.6,16.95,15.6,16.81,4988539.21
2019-10-18,16.97,17.6,16.43,16.51,6030245.4399999995
2019-10-25,16.43,17.0,16.03,16.88,5597668.8
2019-11-01,16.98,17.04,16.24,16.86,4830537.77
2019-11-08,16.98,17.44,16.64,16.65,4486671.7299999995
2019-11-15,16.5,16.55,16.06,16.34,3163030.21
2019-11-22,16.35,16.55,15.55,15.59,4390459.12
2019-11-29,15.64,15.89,15.18,15.29,3106608.87
2019-12-06,15.35,15.72,15.21,15.6,2803540.4
2019-12-13,15.62,16.12,15.25,16.12,3565984.59
2019-12-20,16.12,16.74,15.87,16.59,4108163.71
2019-12-27,16.68,16.93,16.17,16.63,3004447.7
2020-01-03,16.46,16.63,16.1,16.45,1681412.56
