Date,Open,High,Low,Close,Volume
2013-09-30,40.5,47.14,39.88,43.24,1388215.48
2013-10-31,43.0,50.8,42.9,48.4,1820574.36
2013-11-30,47.79,48.79,44.61,47.91,1156384.3
2013-12-31,47.02,52.0,46.0,50.0,1599430.77
2014-01-31,49.4,49.82,45.8,46.86,875422.61
2014-02-28,46.41,47.19,37.74,38.94,1299093.26
2014-03-31,38.5,47.14,38.45,45.08,1590712.19
2014-04-30,45.08,48.26,17.14,17.27,2811419.13
2014-05-31,17.23,17.69,16.31,17.42,2571069.13
2014-06-30,17.47,19.76,17.19,19.32,3351980.88
2014-07-31,19.29,21.44,18.66,21.38,3744485.25
2014-08-31,21.31,22.8,20.86,22.0,3610031.56
2014-09-30,21.99,22.54,19.71,19.89,4529347.07
2014-10-31,19.94,20.96,19.4,20.9,3842745.63
2014-11-30,20.9,22.55,20.08,22.11,5958993.84
2014-12-31,22.1,30.0,22.06,27.44,10273242.55
2015-01-31,27.88,33.48,27.88,30.03,8432565.86
2015-02-28,29.5,32.35,28.51,31.46,3347379.7199999997
2015-03-31,31.54,34.69,28.8,32.95,5844860.74
2015-04-30,32.99,38.88,31.86,36.97,10218649.3
2015-05-31,36.95,41.49,33.13,37.0,7441901.62
2015-06-30,37.11,39.88,32.5,37.28,9491354.29
2015-07-31,37.0,39.38,29.0,33.15,11244750.03
2015-08-31,32.58,35.99,23.33,28.79,6444778.87
2015-09-30,27.99,28.99,24.47,25.23,4304348.22
2015-10-31,26.5,28.4,26.5,28.01,3835482.82
2015-11-30,27.68,31.0,26.17,26.83,5647030.73
2015-12-31,26.86,34.3,26.51,32.82,6034474.75
2016-01-31,32.82,33.18,25.15,27.31,4119930.79
2016-02-29,27.32,28.29,25.72,26.07,1697515.09
2016-03-31,26.15,32.27,26.09,30.85,3684154.73
2016-04-30,31.0,32.26,29.51,32.1,2633179.19
2016-05-31,32.21,34.08,19.99,21.35,3538605.98
2016-06-30,23.1,24.03,22.11,23.72,6963943.78
2016-07-31,23.79,29.57,23.79,28.2,12854395.5
2016-08-31,28.04,29.15,26.4,27.4,8476886.66
2016-09-30,27.33,28.07,25.18,27.01,4191429.75
2016-10-31,27.18,27.2,25.99,27.15,3480160.38
2016-11-30,27.2,32.25,26.76,30.28,7687207.18
2016-12-31,31.3,32.2,27.5,28.17,6887109.05
2017-01-31,28.65,30.14,27.79,29.9,4930240.96
2017-02-28,29.7,33.47,29.4,31.86,6047829.76
2017-03-31,31.8,35.66,31.13,33.3,8279247.03
2017-04-30,33.23,35.2,31.85,33.66,7157684.7700000005
2017-05-31,33.21,36.58,33.15,36.12,8735936.52
2017-06-30,36.16,45.39,35.8,43.04,10320906.68
2017-07-31,42.85,43.65,40.5,41.2,8467236.65
2017-08-31,41.21,42.59,38.67,41.0,6453886.17
2017-09-30,41.16,44.6,39.69,44.19,5758392.47
2017-10-31,44.8,52.35,44.47,51.0,5108746.04
2017-11-30,51.06,57.93,50.2,51.18,9549120.82
2017-12-31,51.67,58.35,49.05,55.43,7019396.36
2018-01-31,56.15,62.69,55.42,59.82,7795490.0
2018-02-28,60.0,60.1,50.15,54.95,5945806.06
2018-03-31,54.99,62.54,52.01,54.53,7263388.61
2018-04-30,53.3,55.0,47.95,51.68,6642279.11
2018-05-31,51.23,55.85,49.88,52.91,6007641.15
2018-06-30,52.5,58.05,49.51,52.22,7434255.61
2018-07-31,51.91,51.91,45.0,47.61,9537562.94
2018-08-31,47.9,48.1,40.51,41.6,8394081.69
2018-09-30,41.49,42.48,39.96,40.3,1172230.6600000001
2018-10-31,37.1,37.88,34.1,37.04,2115779.4299999997
2018-11-30,37.86,42.54,37.8,38.69,6018931.16
2018-12-31,40.0,41.0,36.31,36.86,5546560.99
2019-01-31,37.2,43.6,35.8,43.53,6607870.5
2019-02-28,44.35,49.39,43.53,47.78,5183564.12
2019-03-31,48.1,50.2,45.53,48.73,7578876.4
2019-04-30,49.3,56.35,49.25,52.4,9167349.51
2019-05-31,49.9,53.22,48.5,49.6,4322936.21
2019-06-30,49.79,53.95,48.87,51.86,4987921.85
2019-07-31,52.97,55.66,52.0,54.7,6028179.78
2019-08-31,54.39,54.98,48.61,52.78,5041495.82
2019-09-30,53.7,54.99,50.5,51.1,5092385.47
2019-10-31,51.4,55.99,51.25,55.5,4036842.46
2019-11-30,55.8,60.8,53.68,54.3,5722978.14
2019-12-31,54.58,59.3,54.0,58.25,4396975.59
2020-01-31,58.66,61.0,55.0,55.1,4520573.13
2020-02-29,49.59,55.37,49.59,53.05,7091668.82
2020-03-31,53.05,56.8,46.3,48.42,8156593.97
2020-04-30,48.95,54.16,47.8,53.75,5585364.48
2020-05-31,53.0,59.64,52.7,59.02,4381932.63
2020-06-30,59.3,61.56,57.16,59.79,4565802.33
2020-07-31,59.7,73.75,58.92,71.75,8659579.32
2020-08-31,72.0,74.74,67.09,70.54,4880986.67
2020-09-30,70.56,73.63,64.58,72.6,5207289.94
2020-10-31,73.06,82.5,72.3,77.87,3404802.56
2020-11-30,79.01,95.32,79.0,86.85,7670745.8
2020-12-31,86.25,98.98,83.33,98.44,6800425.86
2021-01-31,98.9,105.71,93.68,96.33,7104464.4
2021-02-28,96.33,108.0,88.83,93.08,8278393.87
2021-03-31,93.4,95.84,79.3,82.23,8553453.82
2021-04-30,82.0,88.5,78.12,80.17,5811549.55
2021-05-31,78.31,85.03,73.62,81.0,7153735.09
2021-06-30,80.91,80.91,70.7,71.37,7697005.58
2021-07-31,71.3,73.39,61.11,63.51,9625616.86
2021-08-31,63.5,75.5,62.58,66.0,8640961.11
2021-09-30,66.51,73.93,65.18,69.6,6121257.55
